plant,year,stage,seeds,year2,fate,seeds2,PS
1,2017,P,0.552024698,2019,P,0.567349272,0.001656074
1,2019,P,0.567349272,2021,PX,0.621632199,0.001702048
2,2017,PX,0.790554086,2019,PX,0.816305765,0.002371662
2,2019,PX,0.816305765,2021,PX,0.844701309,0.002448917
3,2017,PX,0.673029535,2019,PX,0.678140743,0.002019089
3,2019,PX,0.678140743,2021,PX,0.696513759,0.002034422
4,2017,P,0,2019,P,0.567349272,0
4,2019,P,0.567349272,2021,P,0,0.001702048
5,2017,PX,0.614291348,2019,PX,0.630730139,0.001842874
5,2019,PX,0.630730139,2021,PX,0.684889754,0.00189219
6,2017,PX,0,2019,PX,0,0
6,2019,PX,0,2021,PX,0.698154468,0
7,2017,P,0,2019,P,0,0
7,2019,P,0,2021,P,0,0
8,2017,P,0,2019,P,0,0
8,2019,P,0,2021,P,0,0
9,2017,P,0,2019,P,0,0
9,2019,P,0,2021,P,0,0
10,2017,P,0,2019,P,0,0
10,2019,P,0,2021,P,0,0
11,2017,P,0,2019,P,0,0
11,2019,P,0,2021,P,0,0
12,2017,P,0,2019,P,0,0
12,2019,P,0,2021,P,0,0
13,2017,PS,0,2019,dead,0,0
14,2017,PS,0,2019,dead,0,0
15,2017,PS,0,2019,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
16,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
17,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
18,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
19,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
20,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
21,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
22,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
23,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
24,2019,PS,0,2021,dead,0,0
303,2017,PX,0.732931397,2019,PX,0.749332851,0.002198794
303,2019,PX,0.749332851,2021,PX,0.770593053,0.002247999
304,2017,P,0,2019,P,0,0
304,2019,P,0,2021,P,0,0
305,2017,P,0,2019,P,0,0
305,2019,P,0,2021,P,0,0
306,2017,PS,0,2019,dead,0,0
307,2017,PS,0,2019,dead,0,0
308,2017,PS,0,2019,dead,0,0
309,2017,PS,0,2019,dead,0,0
310,2017,PS,0,2019,dead,0,0
311,2017,PS,0,2019,dead,0,0
312,2017,PS,0,2019,dead,0,0
