plant,year,stage,seeds,year2,fate,seeds2,PS
163,2017,PX,0.714279861,2019,PX,0.734450287,0.00214284
163,2019,PX,0.734450287,2021,PX,0.747869863,0.002203351
164,2017,PX,0.681524772,2019,PX,0.703046213,0.002044574
164,2019,PX,0.703046213,2021,PX,0.735963651,0.002109139
165,2017,PX,0.767833034,2019,PX,0.784045616,0.002303499
165,2019,PX,0.784045616,2021,PX,0.795656209,0.002352137
166,2017,P,0,2019,P,0,0
166,2019,P,0,2021,PX,0.641525783,0
167,2017,P,0,2019,P,0,0
167,2019,P,0,2021,P,0.590087917,0
168,2017,P,0,2019,P,0,0
168,2019,P,0,2021,P,0,0
169,2017,PS,0,2019,P,0,0
169,2019,P,0,2021,P,0,0
170,2017,PS,0,2019,P,0,0
170,2019,P,0,2021,P,0,0
171,2017,PS,0,2019,P,0,0
171,2019,P,0,2021,P,0,0
172,2017,P,0,2019,P,0,0
172,2019,P,0,2021,P,0,0
173,2017,P,0,2019,P,0.582546051,0
173,2019,P,0.582546051,2021,PX,0.636145099,0.001747638
174,2017,P,0,2019,P,0,0
174,2019,P,0,2021,P,0.530796942,0
175,2017,P,0,2019,P,0,0
175,2019,P,0,2021,P,0,0
176,2017,P,0,2019,P,0,0
176,2019,P,0,2021,P,0,0
177,2017,P,0,2019,P,0,0
177,2019,P,0,2021,P,0,0
178,2017,P,0,2019,P,0,0
178,2019,P,0,2021,P,0,0
179,2017,P,0,2019,P,0,0
179,2019,P,0,2021,P,0,0
180,2017,P,0,2019,P,0,0
180,2019,P,0,2021,P,0,0
181,2017,P,0,2019,P,0,0
181,2019,P,0,2021,P,0,0
182,2017,P,0.430235871,2019,P,0.484198996,0.001290708
182,2019,P,0.484198996,2021,P,0,0.001452597
183,2017,P,0,2019,P,0,0
183,2019,P,0,2021,P,0.567349272,0
184,2017,P,0,2019,P,0,0
184,2019,P,0,2021,P,0,0
185,2017,P,0,2019,P,0.472560768,0
185,2019,P,0.472560768,2021,P,0,0.001417682
186,2017,P,0,2019,P,0,0
186,2019,P,0,2021,P,0.576863996,0
187,2017,PS,0,2019,P,0,0
187,2019,P,0,2021,P,0,0
188,2017,P,0,2019,P,0,0
188,2019,P,0,2021,P,0,0
189,2017,P,0,2019,P,0,0
189,2019,P,0,2021,P,0,0
190,2017,P,0,2019,P,0.488082844,0
190,2019,P,0.488082844,2021,P,0.542394503,0.001464249
191,2017,PS,0,2019,dead,0,0
192,2017,PS,0,2019,dead,0,0
193,2017,PS,0,2019,PS,0,0
193,2019,PS,0,2021,PS,0,0
194,2017,PS,0,2019,PS,0,0
194,2019,PS,0,2021,P,0,0
195,2017,PS,0,2019,PS,0,0
195,2019,PS,0,2021,P,0.398493719,0
196,2017,PS,0,2019,PS,0,0
196,2019,PS,0,2021,P,0,0
197,2017,PS,0,2019,dead,0,0
198,2017,PS,0,2019,dead,0,0
199,2017,PS,0,2019,PS,0,0
199,2019,PS,0,2021,dead,0,0
200,2017,P,0,2019,dead,0,0
201,2017,PS,0,2019,dead,0,0
202,2017,PS,0,2019,PS,0,0
202,2019,PS,0,2021,P,0,0
NA,NA,NA,NA,NA,NA,NA,NA
204,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
205,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
206,2019,PS,0,2021,PS,0,0
NA,NA,NA,NA,NA,NA,NA,NA
207,2019,PS,0,2021,PS,0,0
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
215,2017,PX,0.734450287,2019,PX,0.746401226,0.002203351
215,2019,PX,0.746401226,2021,PX,0.765049934,0.002239204
216,2017,PX,0.625282062,2019,PX,0.655698261,0.001875846
216,2019,PX,0.655698261,2021,PX,0.673029535,0.001967095
217,2017,P,0,2019,P,0,0
217,2019,P,0,2021,P,0.586322045,0
218,2017,P,0.567349272,2019,P,0.599455619,0.001702048
218,2019,P,0.599455619,2021,PX,0,0.001798367
219,2017,PX,0.627101695,2019,PX,0.657451108,0.001881305
219,2019,PX,0.657451108,2021,PX,0.686565027,0.001972353
220,2017,PX,0.630730139,2019,PX,0.681524772,0.00189219
220,2019,PX,0.681524772,2021,PX,0.720583315,0.002044574
221,2017,P,0,2019,P,0,0
221,2019,P,0,2021,P,0,0
222,2017,P,0,2019,P,0.52498487,0
222,2019,P,0.52498487,2021,P,0,0.001574955
223,2017,P,0,2019,P,0,0
223,2019,P,0,2021,PX,0.616131587,0
